ID,Transaction,,,,,,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7
20,"hering, corned_b, apples, olives, steak, bordeaux, avocado",,,,,,,hering,corned_b,apples,olives,steak,bordeaux,avocado
21,"sardines, heineken, chicken, coke, ice_crea, steak, cracker",,,,,,,sardines,heineken,chicken,coke,ice_crea,steak,cracker
22,"baguette, sardines, apples, peppers, avocado, olives, cracker",,,,,,,baguette,sardines,apples,peppers,avocado,olives,cracker
23,"corned_b, peppers, bourbon, cracker, chicken, steak, baguette",,,,,,,corned_b,peppers,bourbon,cracker,chicken,steak,baguette
24,"baguette, sardines, apples, peppers, avocado, cracker, bourbon",,,,,,,baguette,sardines,apples,peppers,avocado,cracker,bourbon
25,"baguette, hering, avocado, artichok, heineken, olives, cracker",,,,,,,baguette,hering,avocado,artichok,heineken,olives,cracker
26,"baguette, hering, avocado, artichok, heineken, chicken, apples",,,,,,,baguette,hering,avocado,artichok,heineken,chicken,apples
27,"olives, bourbon, coke, turkey, ice_crea, apples, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,apples,baguette
28,"avocado, cracker, artichok, heineken, ham, coke, ice_crea",,,,,,,avocado,cracker,artichok,heineken,ham,coke,ice_crea
29,"sardines, heineken, chicken, coke, ice_crea, olives, ham",,,,,,,sardines,heineken,chicken,coke,ice_crea,olives,ham
30,"soda, olives, bourbon, cracker, heineken, bordeaux, artichok",,,,,,,soda,olives,bourbon,cracker,heineken,bordeaux,artichok
31,"baguette, soda, hering, cracker, heineken, peppers, chicken",,,,,,,baguette,soda,hering,cracker,heineken,peppers,chicken
32,"avocado, cracker, artichok, heineken, ham, ice_crea, bourbon",,,,,,,avocado,cracker,artichok,heineken,ham,ice_crea,bourbon
33,"baguette, hering, avocado, artichok, heineken, soda, olives",,,,,,,baguette,hering,avocado,artichok,heineken,soda,olives
34,"soda, olives, bourbon, cracker, heineken, ham, peppers",,,,,,,soda,olives,bourbon,cracker,heineken,ham,peppers
35,"sardines, heineken, chicken, coke, ice_crea, olives, cracker",,,,,,,sardines,heineken,chicken,coke,ice_crea,olives,cracker
36,"baguette, soda, hering, cracker, heineken, steak, sardines",,,,,,,baguette,soda,hering,cracker,heineken,steak,sardines
37,"sardines, heineken, chicken, coke, ice_crea, artichok, turkey",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,turkey
38,"soda, olives, bourbon, cracker, heineken, artichok, hering",,,,,,,soda,olives,bourbon,cracker,heineken,artichok,hering
39,"baguette, hering, avocado, artichok, heineken, sardines, peppers",,,,,,,baguette,hering,avocado,artichok,heineken,sardines,peppers
40,"sardines, heineken, chicken, coke, ice_crea, bordeaux, olives",,,,,,,sardines,heineken,chicken,coke,ice_crea,bordeaux,olives
41,"sardines, heineken, chicken, coke, ice_crea, bourbon, peppers",,,,,,,sardines,heineken,chicken,coke,ice_crea,bourbon,peppers
42,"olives, bourbon, coke, turkey, ice_crea, baguette, steak",,,,,,,olives,bourbon,coke,turkey,ice_crea,baguette,steak
43,"baguette, hering, avocado, artichok, heineken, peppers, ham",,,,,,,baguette,hering,avocado,artichok,heineken,peppers,ham
44,"baguette, hering, avocado, artichok, heineken, bordeaux, cracker",,,,,,,baguette,hering,avocado,artichok,heineken,bordeaux,cracker
45,"hering, corned_b, apples, olives, steak, ham, ice_crea",,,,,,,hering,corned_b,apples,olives,steak,ham,ice_crea
46,"avocado, cracker, artichok, heineken, ham, coke, apples",,,,,,,avocado,cracker,artichok,heineken,ham,coke,apples
47,"corned_b, peppers, bourbon, cracker, chicken, baguette, ham",,,,,,,corned_b,peppers,bourbon,cracker,chicken,baguette,ham
48,"olives, bourbon, coke, turkey, ice_crea, sardines, avocado",,,,,,,olives,bourbon,coke,turkey,ice_crea,sardines,avocado
49,"hering, corned_b, olives, ham, turkey, cracker, steak",,,,,,,hering,corned_b,olives,ham,turkey,cracker,steak
50,"corned_b, peppers, bourbon, cracker, chicken, bordeaux, ice_crea",,,,,,,corned_b,peppers,bourbon,cracker,chicken,bordeaux,ice_crea
51,"baguette, soda, hering, cracker, heineken, olives, olives",,,,,,,baguette,soda,hering,cracker,heineken,olives,olives
52,"sardines, heineken, chicken, coke, ice_crea, artichok, baguette",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,baguette
53,"avocado, cracker, artichok, heineken, ham, corned_b, sardines",,,,,,,avocado,cracker,artichok,heineken,ham,corned_b,sardines
54,"baguette, hering, avocado, artichok, heineken, olives, bourbon",,,,,,,baguette,hering,avocado,artichok,heineken,olives,bourbon
55,"soda, olives, bourbon, cracker, heineken, bordeaux, chicken",,,,,,,soda,olives,bourbon,cracker,heineken,bordeaux,chicken
56,"baguette, soda, hering, cracker, heineken, avocado, artichok",,,,,,,baguette,soda,hering,cracker,heineken,avocado,artichok
57,"baguette, sardines, apples, peppers, avocado, ham, coke",,,,,,,baguette,sardines,apples,peppers,avocado,ham,coke
58,"baguette, soda, hering, cracker, heineken, corned_b, turkey",,,,,,,baguette,soda,hering,cracker,heineken,corned_b,turkey
59,"sardines, heineken, chicken, coke, ice_crea, ham, ham",,,,,,,sardines,heineken,chicken,coke,ice_crea,ham,ham
60,"baguette, sardines, apples, peppers, avocado, ice_crea, coke",,,,,,,baguette,sardines,apples,peppers,avocado,ice_crea,coke
61,"baguette, hering, avocado, artichok, heineken, turkey, turkey",,,,,,,baguette,hering,avocado,artichok,heineken,turkey,turkey
62,"hering, corned_b, apples, olives, steak, avocado, bourbon",,,,,,,hering,corned_b,apples,olives,steak,avocado,bourbon
63,"hering, corned_b, olives, ham, turkey, bourbon, peppers",,,,,,,hering,corned_b,olives,ham,turkey,bourbon,peppers
64,"baguette, hering, avocado, artichok, heineken, bordeaux, coke",,,,,,,baguette,hering,avocado,artichok,heineken,bordeaux,coke
65,"baguette, hering, avocado, artichok, heineken, bordeaux, soda",,,,,,,baguette,hering,avocado,artichok,heineken,bordeaux,soda
66,"corned_b, peppers, bourbon, cracker, chicken, ham, steak",,,,,,,corned_b,peppers,bourbon,cracker,chicken,ham,steak
67,"olives, bourbon, coke, turkey, ice_crea, soda, sardines",,,,,,,olives,bourbon,coke,turkey,ice_crea,soda,sardines
68,"sardines, heineken, chicken, coke, ice_crea, cracker, apples",,,,,,,sardines,heineken,chicken,coke,ice_crea,cracker,apples
69,"avocado, cracker, artichok, heineken, ham, steak, steak",,,,,,,avocado,cracker,artichok,heineken,ham,steak,steak
70,"baguette, hering, avocado, artichok, heineken, ice_crea, soda",,,,,,,baguette,hering,avocado,artichok,heineken,ice_crea,soda
71,"baguette, sardines, apples, peppers, avocado, artichok, heineken",,,,,,,baguette,sardines,apples,peppers,avocado,artichok,heineken
72,"baguette, soda, hering, cracker, heineken, steak, steak",,,,,,,baguette,soda,hering,cracker,heineken,steak,steak
73,"corned_b, peppers, bourbon, cracker, chicken, hering, artichok",,,,,,,corned_b,peppers,bourbon,cracker,chicken,hering,artichok
74,"hering, corned_b, olives, ham, turkey, cracker, avocado",,,,,,,hering,corned_b,olives,ham,turkey,cracker,avocado
75,"baguette, soda, hering, cracker, heineken, apples, coke",,,,,,,baguette,soda,hering,cracker,heineken,apples,coke
76,"baguette, hering, avocado, artichok, heineken, bourbon, ham",,,,,,,baguette,hering,avocado,artichok,heineken,bourbon,ham
77,"olives, bourbon, coke, turkey, ice_crea, cracker, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,cracker,baguette
78,"baguette, sardines, apples, peppers, avocado, artichok, cracker",,,,,,,baguette,sardines,apples,peppers,avocado,artichok,cracker
79,"corned_b, peppers, bourbon, cracker, chicken, ham, heineken",,,,,,,corned_b,peppers,bourbon,cracker,chicken,ham,heineken
80,"corned_b, peppers, bourbon, cracker, chicken, ice_crea, baguette",,,,,,,corned_b,peppers,bourbon,cracker,chicken,ice_crea,baguette
81,"hering, corned_b, apples, olives, steak, turkey, ice_crea",,,,,,,hering,corned_b,apples,olives,steak,turkey,ice_crea
82,"corned_b, peppers, bourbon, cracker, chicken, artichok, heineken",,,,,,,corned_b,peppers,bourbon,cracker,chicken,artichok,heineken
83,"hering, corned_b, olives, ham, turkey, heineken, sardines",,,,,,,hering,corned_b,olives,ham,turkey,heineken,sardines
84,"olives, bourbon, coke, turkey, ice_crea, steak, ham",,,,,,,olives,bourbon,coke,turkey,ice_crea,steak,ham
85,"olives, bourbon, coke, turkey, ice_crea, baguette, heineken",,,,,,,olives,bourbon,coke,turkey,ice_crea,baguette,heineken
86,"baguette, hering, avocado, artichok, heineken, ham, bourbon",,,,,,,baguette,hering,avocado,artichok,heineken,ham,bourbon
87,"baguette, hering, avocado, artichok, heineken, ice_crea, ham",,,,,,,baguette,hering,avocado,artichok,heineken,ice_crea,ham
88,"avocado, cracker, artichok, heineken, ham, turkey, sardines",,,,,,,avocado,cracker,artichok,heineken,ham,turkey,sardines
89,"sardines, heineken, chicken, coke, ice_crea, soda, apples",,,,,,,sardines,heineken,chicken,coke,ice_crea,soda,apples
90,"avocado, cracker, artichok, heineken, ham, chicken, soda",,,,,,,avocado,cracker,artichok,heineken,ham,chicken,soda
91,"soda, olives, bourbon, cracker, heineken, hering, steak",,,,,,,soda,olives,bourbon,cracker,heineken,hering,steak
92,"hering, corned_b, apples, olives, steak, bordeaux, ham",,,,,,,hering,corned_b,apples,olives,steak,bordeaux,ham
93,"sardines, heineken, chicken, coke, ice_crea, hering, corned_b",,,,,,,sardines,heineken,chicken,coke,ice_crea,hering,corned_b
94,"hering, corned_b, olives, ham, turkey, steak, sardines",,,,,,,hering,corned_b,olives,ham,turkey,steak,sardines
95,"corned_b, peppers, bourbon, cracker, chicken, soda, artichok",,,,,,,corned_b,peppers,bourbon,cracker,chicken,soda,artichok
96,"corned_b, peppers, bourbon, cracker, chicken, hering, soda",,,,,,,corned_b,peppers,bourbon,cracker,chicken,hering,soda
97,"baguette, soda, hering, cracker, heineken, bourbon, peppers",,,,,,,baguette,soda,hering,cracker,heineken,bourbon,peppers
98,"avocado, cracker, artichok, heineken, ham, bourbon, soda",,,,,,,avocado,cracker,artichok,heineken,ham,bourbon,soda
99,"corned_b, peppers, bourbon, cracker, chicken, olives, artichok",,,,,,,corned_b,peppers,bourbon,cracker,chicken,olives,artichok
100,"corned_b, peppers, bourbon, cracker, chicken, turkey, apples",,,,,,,corned_b,peppers,bourbon,cracker,chicken,turkey,apples
101,"baguette, sardines, apples, peppers, avocado, steak, ice_crea",,,,,,,baguette,sardines,apples,peppers,avocado,steak,ice_crea
102,"soda, olives, bourbon, cracker, heineken, steak, baguette",,,,,,,soda,olives,bourbon,cracker,heineken,steak,baguette
103,"baguette, soda, hering, cracker, heineken, ice_crea, apples",,,,,,,baguette,soda,hering,cracker,heineken,ice_crea,apples
104,"olives, bourbon, coke, turkey, ice_crea, cracker, corned_b",,,,,,,olives,bourbon,coke,turkey,ice_crea,cracker,corned_b
105,"soda, olives, bourbon, cracker, heineken, avocado, avocado",,,,,,,soda,olives,bourbon,cracker,heineken,avocado,avocado
106,"hering, corned_b, apples, olives, steak, avocado, peppers",,,,,,,hering,corned_b,apples,olives,steak,avocado,peppers
107,"avocado, cracker, artichok, heineken, ham, turkey, sardines",,,,,,,avocado,cracker,artichok,heineken,ham,turkey,sardines
108,"corned_b, peppers, bourbon, cracker, chicken, heineken, ham",,,,,,,corned_b,peppers,bourbon,cracker,chicken,heineken,ham
109,"soda, olives, bourbon, cracker, heineken, peppers, artichok",,,,,,,soda,olives,bourbon,cracker,heineken,peppers,artichok
110,"olives, bourbon, coke, turkey, ice_crea, corned_b, cracker",,,,,,,olives,bourbon,coke,turkey,ice_crea,corned_b,cracker
111,"avocado, cracker, artichok, heineken, ham, ice_crea, sardines",,,,,,,avocado,cracker,artichok,heineken,ham,ice_crea,sardines
112,"baguette, hering, avocado, artichok, heineken, olives, peppers",,,,,,,baguette,hering,avocado,artichok,heineken,olives,peppers
113,"sardines, heineken, chicken, coke, ice_crea, avocado, ham",,,,,,,sardines,heineken,chicken,coke,ice_crea,avocado,ham
114,"olives, bourbon, coke, turkey, ice_crea, soda, ham",,,,,,,olives,bourbon,coke,turkey,ice_crea,soda,ham
115,"hering, corned_b, olives, ham, turkey, apples, bourbon",,,,,,,hering,corned_b,olives,ham,turkey,apples,bourbon
116,"baguette, soda, hering, cracker, heineken, apples, chicken",,,,,,,baguette,soda,hering,cracker,heineken,apples,chicken
117,"corned_b, peppers, bourbon, cracker, chicken, heineken, apples",,,,,,,corned_b,peppers,bourbon,cracker,chicken,heineken,apples
118,"sardines, heineken, chicken, coke, ice_crea, baguette, artichok",,,,,,,sardines,heineken,chicken,coke,ice_crea,baguette,artichok
119,"olives, bourbon, coke, turkey, ice_crea, corned_b, apples",,,,,,,olives,bourbon,coke,turkey,ice_crea,corned_b,apples
120,"baguette, hering, avocado, artichok, heineken, steak, chicken",,,,,,,baguette,hering,avocado,artichok,heineken,steak,chicken
121,"sardines, heineken, chicken, coke, ice_crea, bourbon, soda",,,,,,,sardines,heineken,chicken,coke,ice_crea,bourbon,soda
122,"sardines, heineken, chicken, coke, ice_crea, artichok, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,bourbon
123,"corned_b, peppers, bourbon, cracker, chicken, steak, steak",,,,,,,corned_b,peppers,bourbon,cracker,chicken,steak,steak
124,"sardines, heineken, chicken, coke, ice_crea, corned_b, corned_b",,,,,,,sardines,heineken,chicken,coke,ice_crea,corned_b,corned_b
125,"baguette, sardines, apples, peppers, avocado, steak, olives",,,,,,,baguette,sardines,apples,peppers,avocado,steak,olives
126,"avocado, cracker, artichok, heineken, ham, bordeaux, ice_crea",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,ice_crea
127,"baguette, soda, hering, cracker, heineken, olives, ice_crea",,,,,,,baguette,soda,hering,cracker,heineken,olives,ice_crea
128,"soda, olives, bourbon, cracker, heineken, apples, apples",,,,,,,soda,olives,bourbon,cracker,heineken,apples,apples
129,"baguette, hering, avocado, artichok, heineken, sardines, apples",,,,,,,baguette,hering,avocado,artichok,heineken,sardines,apples
130,"soda, olives, bourbon, cracker, heineken, coke, baguette",,,,,,,soda,olives,bourbon,cracker,heineken,coke,baguette
131,"hering, corned_b, olives, ham, turkey, apples, avocado",,,,,,,hering,corned_b,olives,ham,turkey,apples,avocado
132,"hering, corned_b, apples, olives, steak, avocado, artichok",,,,,,,hering,corned_b,apples,olives,steak,avocado,artichok
133,"hering, corned_b, olives, ham, turkey, coke, heineken",,,,,,,hering,corned_b,olives,ham,turkey,coke,heineken
134,"baguette, soda, hering, cracker, heineken, artichok, turkey",,,,,,,baguette,soda,hering,cracker,heineken,artichok,turkey
135,"baguette, sardines, apples, peppers, avocado, soda, steak",,,,,,,baguette,sardines,apples,peppers,avocado,soda,steak
136,"hering, corned_b, olives, ham, turkey, steak, apples",,,,,,,hering,corned_b,olives,ham,turkey,steak,apples
137,"hering, corned_b, olives, ham, turkey, bourbon, cracker",,,,,,,hering,corned_b,olives,ham,turkey,bourbon,cracker
138,"baguette, soda, hering, cracker, heineken, ham, sardines",,,,,,,baguette,soda,hering,cracker,heineken,ham,sardines
139,"baguette, sardines, apples, peppers, avocado, turkey, corned_b",,,,,,,baguette,sardines,apples,peppers,avocado,turkey,corned_b
140,"hering, corned_b, apples, olives, steak, ham, baguette",,,,,,,hering,corned_b,apples,olives,steak,ham,baguette
141,"avocado, cracker, artichok, heineken, ham, olives, chicken",,,,,,,avocado,cracker,artichok,heineken,ham,olives,chicken
142,"hering, corned_b, apples, olives, steak, cracker, coke",,,,,,,hering,corned_b,apples,olives,steak,cracker,coke
143,"baguette, soda, hering, cracker, heineken, bordeaux, peppers",,,,,,,baguette,soda,hering,cracker,heineken,bordeaux,peppers
144,"corned_b, peppers, bourbon, cracker, chicken, apples, soda",,,,,,,corned_b,peppers,bourbon,cracker,chicken,apples,soda
145,"baguette, soda, hering, cracker, heineken, chicken, olives",,,,,,,baguette,soda,hering,cracker,heineken,chicken,olives
146,"avocado, cracker, artichok, heineken, ham, hering, soda",,,,,,,avocado,cracker,artichok,heineken,ham,hering,soda
147,"hering, corned_b, apples, olives, steak, heineken, sardines",,,,,,,hering,corned_b,apples,olives,steak,heineken,sardines
148,"hering, corned_b, olives, ham, turkey, soda, steak",,,,,,,hering,corned_b,olives,ham,turkey,soda,steak
149,"corned_b, peppers, bourbon, cracker, chicken, olives, ice_crea",,,,,,,corned_b,peppers,bourbon,cracker,chicken,olives,ice_crea
150,"baguette, soda, hering, cracker, heineken, chicken, chicken",,,,,,,baguette,soda,hering,cracker,heineken,chicken,chicken
151,"baguette, sardines, apples, peppers, avocado, bourbon, bourbon",,,,,,,baguette,sardines,apples,peppers,avocado,bourbon,bourbon
152,"avocado, cracker, artichok, heineken, ham, turkey, hering",,,,,,,avocado,cracker,artichok,heineken,ham,turkey,hering
153,"avocado, cracker, artichok, heineken, ham, bordeaux, coke",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,coke
154,"olives, bourbon, coke, turkey, ice_crea, soda, apples",,,,,,,olives,bourbon,coke,turkey,ice_crea,soda,apples
155,"olives, bourbon, coke, turkey, ice_crea, cracker, steak",,,,,,,olives,bourbon,coke,turkey,ice_crea,cracker,steak
156,"baguette, soda, hering, cracker, heineken, chicken, turkey",,,,,,,baguette,soda,hering,cracker,heineken,chicken,turkey
157,"baguette, hering, avocado, artichok, heineken, corned_b, cracker",,,,,,,baguette,hering,avocado,artichok,heineken,corned_b,cracker
158,"hering, corned_b, olives, ham, turkey, baguette, bourbon",,,,,,,hering,corned_b,olives,ham,turkey,baguette,bourbon
159,"avocado, cracker, artichok, heineken, ham, bordeaux, chicken",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,chicken
160,"hering, corned_b, olives, ham, turkey, heineken, bourbon",,,,,,,hering,corned_b,olives,ham,turkey,heineken,bourbon
161,"soda, olives, bourbon, cracker, heineken, turkey, avocado",,,,,,,soda,olives,bourbon,cracker,heineken,turkey,avocado
162,"hering, corned_b, apples, olives, steak, peppers, bourbon",,,,,,,hering,corned_b,apples,olives,steak,peppers,bourbon
163,"corned_b, peppers, bourbon, cracker, chicken, ice_crea, hering",,,,,,,corned_b,peppers,bourbon,cracker,chicken,ice_crea,hering
164,"olives, bourbon, coke, turkey, ice_crea, peppers, apples",,,,,,,olives,bourbon,coke,turkey,ice_crea,peppers,apples
165,"baguette, hering, avocado, artichok, heineken, bourbon, turkey",,,,,,,baguette,hering,avocado,artichok,heineken,bourbon,turkey
166,"corned_b, peppers, bourbon, cracker, chicken, baguette, steak",,,,,,,corned_b,peppers,bourbon,cracker,chicken,baguette,steak
167,"hering, corned_b, apples, olives, steak, bordeaux, coke",,,,,,,hering,corned_b,apples,olives,steak,bordeaux,coke
168,"baguette, hering, avocado, artichok, heineken, cracker, apples",,,,,,,baguette,hering,avocado,artichok,heineken,cracker,apples
169,"baguette, soda, hering, cracker, heineken, apples, sardines",,,,,,,baguette,soda,hering,cracker,heineken,apples,sardines
170,"avocado, cracker, artichok, heineken, ham, bourbon, soda",,,,,,,avocado,cracker,artichok,heineken,ham,bourbon,soda
171,"soda, olives, bourbon, cracker, heineken, turkey, corned_b",,,,,,,soda,olives,bourbon,cracker,heineken,turkey,corned_b
172,"baguette, sardines, apples, peppers, avocado, steak, coke",,,,,,,baguette,sardines,apples,peppers,avocado,steak,coke
173,"hering, corned_b, apples, olives, steak, turkey, coke",,,,,,,hering,corned_b,apples,olives,steak,turkey,coke
174,"baguette, sardines, apples, peppers, avocado, heineken, corned_b",,,,,,,baguette,sardines,apples,peppers,avocado,heineken,corned_b
175,"soda, olives, bourbon, cracker, heineken, baguette, hering",,,,,,,soda,olives,bourbon,cracker,heineken,baguette,hering
176,"hering, corned_b, apples, olives, steak, sardines, ice_crea",,,,,,,hering,corned_b,apples,olives,steak,sardines,ice_crea
177,"sardines, heineken, chicken, coke, ice_crea, artichok, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,bourbon
178,"soda, olives, bourbon, cracker, heineken, turkey, hering",,,,,,,soda,olives,bourbon,cracker,heineken,turkey,hering
179,"corned_b, peppers, bourbon, cracker, chicken, apples, coke",,,,,,,corned_b,peppers,bourbon,cracker,chicken,apples,coke
180,"avocado, cracker, artichok, heineken, ham, steak, hering",,,,,,,avocado,cracker,artichok,heineken,ham,steak,hering
181,"hering, corned_b, apples, olives, steak, sardines, chicken",,,,,,,hering,corned_b,apples,olives,steak,sardines,chicken
182,"baguette, sardines, apples, peppers, avocado, ice_crea, soda",,,,,,,baguette,sardines,apples,peppers,avocado,ice_crea,soda
183,"sardines, heineken, chicken, coke, ice_crea, apples, artichok",,,,,,,sardines,heineken,chicken,coke,ice_crea,apples,artichok
184,"baguette, sardines, apples, peppers, avocado, hering, ham",,,,,,,baguette,sardines,apples,peppers,avocado,hering,ham
185,"hering, corned_b, olives, ham, turkey, baguette, avocado",,,,,,,hering,corned_b,olives,ham,turkey,baguette,avocado
186,"soda, olives, bourbon, cracker, heineken, hering, coke",,,,,,,soda,olives,bourbon,cracker,heineken,hering,coke
187,"soda, olives, bourbon, cracker, heineken, sardines, avocado",,,,,,,soda,olives,bourbon,cracker,heineken,sardines,avocado
188,"baguette, sardines, apples, peppers, avocado, bourbon, olives",,,,,,,baguette,sardines,apples,peppers,avocado,bourbon,olives
189,"baguette, hering, avocado, artichok, heineken, turkey, steak",,,,,,,baguette,hering,avocado,artichok,heineken,turkey,steak
190,"olives, bourbon, coke, turkey, ice_crea, heineken, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,heineken,baguette
191,"avocado, cracker, artichok, heineken, ham, chicken, corned_b",,,,,,,avocado,cracker,artichok,heineken,ham,chicken,corned_b
192,"baguette, soda, hering, cracker, heineken, steak, avocado",,,,,,,baguette,soda,hering,cracker,heineken,steak,avocado
193,"hering, corned_b, olives, ham, turkey, chicken, sardines",,,,,,,hering,corned_b,olives,ham,turkey,chicken,sardines
194,"soda, olives, bourbon, cracker, heineken, ice_crea, sardines",,,,,,,soda,olives,bourbon,cracker,heineken,ice_crea,sardines
195,"baguette, sardines, apples, peppers, avocado, soda, chicken",,,,,,,baguette,sardines,apples,peppers,avocado,soda,chicken
196,"baguette, sardines, apples, peppers, avocado, heineken, corned_b",,,,,,,baguette,sardines,apples,peppers,avocado,heineken,corned_b
197,"soda, olives, bourbon, cracker, heineken, baguette, chicken",,,,,,,soda,olives,bourbon,cracker,heineken,baguette,chicken
198,"baguette, soda, hering, cracker, heineken, avocado, chicken",,,,,,,baguette,soda,hering,cracker,heineken,avocado,chicken
199,"baguette, soda, hering, cracker, heineken, steak, ham",,,,,,,baguette,soda,hering,cracker,heineken,steak,ham
200,"baguette, hering, avocado, artichok, heineken, soda, olives",,,,,,,baguette,hering,avocado,artichok,heineken,soda,olives
201,"baguette, soda, hering, cracker, heineken, olives, ice_crea",,,,,,,baguette,soda,hering,cracker,heineken,olives,ice_crea
202,"hering, corned_b, olives, ham, turkey, bourbon, chicken",,,,,,,hering,corned_b,olives,ham,turkey,bourbon,chicken
203,"baguette, soda, hering, cracker, heineken, chicken, steak",,,,,,,baguette,soda,hering,cracker,heineken,chicken,steak
204,"baguette, soda, hering, cracker, heineken, sardines, sardines",,,,,,,baguette,soda,hering,cracker,heineken,sardines,sardines
205,"hering, corned_b, apples, olives, steak, peppers, ice_crea",,,,,,,hering,corned_b,apples,olives,steak,peppers,ice_crea
206,"sardines, heineken, chicken, coke, ice_crea, corned_b, apples",,,,,,,sardines,heineken,chicken,coke,ice_crea,corned_b,apples
207,"baguette, sardines, apples, peppers, avocado, heineken, ice_crea",,,,,,,baguette,sardines,apples,peppers,avocado,heineken,ice_crea
208,"sardines, heineken, chicken, coke, ice_crea, artichok, corned_b",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,corned_b
209,"baguette, hering, avocado, artichok, heineken, coke, ham",,,,,,,baguette,hering,avocado,artichok,heineken,coke,ham
210,"baguette, sardines, apples, peppers, avocado, bordeaux, coke",,,,,,,baguette,sardines,apples,peppers,avocado,bordeaux,coke
211,"baguette, soda, hering, cracker, heineken, bourbon, sardines",,,,,,,baguette,soda,hering,cracker,heineken,bourbon,sardines
212,"hering, corned_b, apples, olives, steak, coke, cracker",,,,,,,hering,corned_b,apples,olives,steak,coke,cracker
213,"baguette, sardines, apples, peppers, avocado, bourbon, coke",,,,,,,baguette,sardines,apples,peppers,avocado,bourbon,coke
214,"olives, bourbon, coke, turkey, ice_crea, heineken, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,heineken,baguette
215,"baguette, soda, hering, cracker, heineken, peppers, chicken",,,,,,,baguette,soda,hering,cracker,heineken,peppers,chicken
216,"baguette, sardines, apples, peppers, avocado, artichok, soda",,,,,,,baguette,sardines,apples,peppers,avocado,artichok,soda
217,"avocado, cracker, artichok, heineken, ham, corned_b, peppers",,,,,,,avocado,cracker,artichok,heineken,ham,corned_b,peppers
218,"hering, corned_b, olives, ham, turkey, bordeaux, baguette",,,,,,,hering,corned_b,olives,ham,turkey,bordeaux,baguette
219,"soda, olives, bourbon, cracker, heineken, avocado, chicken",,,,,,,soda,olives,bourbon,cracker,heineken,avocado,chicken
